NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
UKL23,W06000006,Wrexham,,No,135571,503773900,1,No,,,UK022C1,No,Wrexham,,,,,,
UKL14,W06000008,Ceredigion,,No,73076,1805867600,3,No,,,,,,,,,,,
UKL14,W06000009,Pembrokeshire,,No,124711,1650471900,3,No,,,,,,,,,,,
UKL14,W06000010,Carmarthenshire,,No,186452,2438947400,2,No,,,,,,,,,,,
UKL18,W06000011,Swansea,,No,245480,420897700,1,No,,,UK517C1,No,Swansea,,,,UK517L1,No,Swansea
UKL17,W06000012,Neath Port Talbot,,No,142090,451870000,2,No,,,,,,,,,UK517L1,No,Swansea
UKL17,W06000013,Bridgend,,No,144288,255311400,2,No,,,,,,,,,,,
UKL22,W06000014,Vale of Glamorgan,,No,130690,339675700,2,No,,,,,,,,,UK009L1,No,Cardiff
UKL22,W06000015,Cardiff,,No,362756,149511200,1,No,,,UK009C1,No,Cardiff,,,,UK009L1,No,Cardiff
UKL15,W06000016,Rhondda Cynon Taf,,No,239127,424150300,2,No,,,,,,,,,UK009L1,No,Cardiff
UKL16,W06000018,Caerphilly,,No,180795,277387900,2,No,,,,,,,,,UK009L1,No,Cardiff
UKL16,W06000019,Blaenau Gwent,,No,69609,108727900,2,No,,,,,,,,,,,
UKL16,W06000020,Torfaen,,No,92264,126240100,2,No,,,,,,,,,UK558L1,No,Newport
UKL21,W06000021,Monmouthshire,,No,93590,886053400,2,No,,,,,,,,,,,
UKL21,W06000022,Newport,,No,151485,217767600,1,No,,,UK558C1,No,Newport,,,,UK558L1,No,Newport
UKL24,W06000023,Powys,,No,132515,5195456100,3,No,,,,,,,,,,,
UKL15,W06000024,Merthyr Tydfil,,No,59953,111956900,2,No,,,,,,,,,,,
